"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","897","Успешная авторизация курьером","","Sun May 25 22:18:22 MSK 2025","passed","Sun May 25 22:18:23 MSK 2025","","ru.yandex.praktikum.CourierLoginTest","ru.yandex.praktikum.CourierLoginTest","loginCourierTrue"
"","3673","Попытка авторизации без логина","","Sun May 25 22:18:16 MSK 2025","passed","Sun May 25 22:18:19 MSK 2025","","ru.yandex.praktikum.CourierLoginTest","ru.yandex.praktikum.CourierLoginTest","loginCourierFalseWithoutLogin"
"","658","Создание курьера с заполнением всех полей","","Sun May 25 22:18:25 MSK 2025","passed","Sun May 25 22:18:26 MSK 2025","","ru.yandex.praktikum.CourierTest","ru.yandex.praktikum.CourierTest","createCourierTrue"
"","799","Попытка авторизации с неверным паролем","","Sun May 25 22:18:19 MSK 2025","passed","Sun May 25 22:18:20 MSK 2025","","ru.yandex.praktikum.CourierLoginTest","ru.yandex.praktikum.CourierLoginTest","loginCourierFalsePassword"
"","368","Невозможность создания курьера без логина","","Sun May 25 22:18:24 MSK 2025","passed","Sun May 25 22:18:24 MSK 2025","","ru.yandex.praktikum.CourierTest","ru.yandex.praktikum.CourierTest","createCourierFalseWithoutLogin"
"","866","Попытка авторизации без пароля","","Sun May 25 22:18:21 MSK 2025","passed","Sun May 25 22:18:22 MSK 2025","","ru.yandex.praktikum.CourierLoginTest","ru.yandex.praktikum.CourierLoginTest","loginCourierFalseWithoutPassword"
"","665","Создание курьера только с заполнением обязательных полей","","Sun May 25 22:18:23 MSK 2025","passed","Sun May 25 22:18:24 MSK 2025","","ru.yandex.praktikum.CourierTest","ru.yandex.praktikum.CourierTest","createCourierTrueWithoutFirstName"
"","875","Невозможность создания двух курьеров с одинаковым логином","","Sun May 25 22:18:24 MSK 2025","failed","Sun May 25 22:18:25 MSK 2025","","ru.yandex.praktikum.CourierTest","ru.yandex.praktikum.CourierTest","createDoubleCourierFalse"
"","381","Невозможность создания курьера без пароля","","Sun May 25 22:18:23 MSK 2025","passed","Sun May 25 22:18:23 MSK 2025","","ru.yandex.praktikum.CourierTest","ru.yandex.praktikum.CourierTest","createCourierFalseWithoutPassword"
"","888","Попытка авторизации с несуществующим логином","","Sun May 25 22:18:20 MSK 2025","passed","Sun May 25 22:18:21 MSK 2025","","ru.yandex.praktikum.CourierLoginTest","ru.yandex.praktikum.CourierLoginTest","loginCourierFalseLogin"
"","2244","Запрос на получение списка заказов","","Sun May 25 22:18:26 MSK 2025","passed","Sun May 25 22:18:28 MSK 2025","","ru.yandex.praktikum.ListOrdersTest","ru.yandex.praktikum.ListOrdersTest","getListOrders"
